t,ls,alt,vel,ax,ay,az,hax,hay,haz
31990,20,0.32,-0.01,0.29,0.28,9.72,-0.48,-2.40,9.13
32092,20,0.30,-0.05,0.02,0.32,9.72,0.48,-2.40,9.13
32193,20,0.24,-0.13,0.90,0.43,9.64,0.00,-1.44,9.13
32295,20,0.19,-0.20,-0.02,0.09,9.76,-0.48,-2.88,10.09
32397,20,0.17,-0.21,0.59,0.21,9.72,0.96,-1.92,9.13
32499,20,0.18,-0.18,0.67,0.36,9.72,-1.92,0.00,9.13
32703,20,0.21,-0.10,0.05,0.28,9.72,-1.44,-2.40,8.65
32812,20,0.22,-0.08,-0.21,0.32,9.76,-0.48,-0.96,8.17
32913,20,0.25,-0.02,0.25,0.51,9.68,-0.48,-1.44,10.57
33015,20,0.31,0.07,-0.86,0.32,9.84,0.00,-2.40,8.17
33117,20,0.30,0.05,0.90,0.47,9.64,0.48,-0.96,11.53
33219,20,0.30,0.05,0.32,0.02,9.72,0.48,-1.44,9.13
33321,20,0.25,-0.03,0.44,0.43,9.72,-0.48,-2.40,7.69
33423,20,0.20,-0.10,0.29,0.59,9.72,-0.48,-1.92,8.65
33525,20,0.20,-0.09,0.36,0.24,9.68,-0.96,-1.44,8.65
33729,20,0.30,0.05,1.16,-0.25,9.84,-0.96,-1.92,10.09
33830,20,0.30,0.05,0.44,0.17,9.64,-0.96,-1.92,8.65
33933,20,0.37,0.15,0.48,0.55,9.72,0.00,-1.44,10.09
34035,20,0.38,0.15,0.09,-0.60,9.72,0.00,-1.92,9.61
34137,20,0.37,0.12,0.71,-0.45,9.72,0.48,-2.40,11.53
34240,20,0.38,0.12,-0.02,0.70,9.76,1.44,-1.92,8.17
34342,20,0.36,0.09,0.40,0.59,9.76,-0.96,-2.40,9.61
34445,20,0.39,0.11,0.32,0.36,9.68,-0.48,-1.92,10.57
34547,20,0.43,0.16,-0.06,0.02,9.76,1.44,-2.40,10.09
34752,20,0.52,0.25,0.36,0.32,9.68,0.00,-2.40,10.09
34864,20,0.52,0.23,0.09,0.24,9.72,0.48,-5.29,8.65
34965,20,0.53,0.21,1.13,-0.02,9.68,-0.48,-1.44,12.49
35067,20,0.49,0.13,0.29,0.02,9.72,0.48,-0.48,10.09
35169,20,0.44,0.05,0.40,0.82,9.57,0.48,-2.88,8.65
35271,20,0.47,0.08,2.81,0.21,9.64,0.00,0.48,9.13
35373,20,0.47,0.08,-0.79,-0.06,9.72,-0.48,-1.92,9.13
35475,20,0.46,0.05,0.05,-0.14,9.72,0.00,-0.96,9.61
35577,20,0.40,-0.05,0.63,0.66,9.64,-0.48,-2.40,9.13
35781,20,0.38,-0.07,0.05,0.51,9.72,0.48,-2.40,8.17
35882,20,0.34,-0.13,0.59,-0.45,9.72,0.00,-2.40,9.13
35984,20,0.25,-0.25,0.63,0.09,9.68,0.00,-1.92,11.05
36086,20,0.27,-0.18,-0.37,0.78,9.76,0.48,-3.36,9.61
36188,20,0.28,-0.17,0.09,0.43,9.80,0.00,-1.92,9.13
36290,20,0.25,-0.18,0.32,-0.02,9.72,0.00,0.96,9.13
36393,20,0.21,-0.24,-0.64,0.82,9.87,0.00,-3.36,9.61
36495,20,0.11,-0.34,1.39,0.66,9.53,-1.44,-1.44,9.13
36597,20,0.20,-0.18,0.63,0.66,9.64,-0.96,-0.96,8.65
36802,20,0.39,0.13,-0.21,0.21,9.76,-0.48,-3.84,9.13
36904,20,0.43,0.17,1.01,0.02,9.52,0.48,-0.96,9.13
37006,20,0.43,0.15,-1.52,0.70,9.80,0.48,-2.40,10.57
37108,20,0.37,0.06,-0.18,1.24,9.80,-0.48,-1.44,9.13
37210,20,0.37,0.05,0.17,0.24,9.72,-0.48,-1.92,8.17
37312,20,0.39,0.08,0.13,0.09,9.80,0.96,-1.92,7.69
37414,20,0.35,0.00,0.52,0.43,9.68,0.00,-0.96,8.65
37516,20,0.25,-0.14,-0.02,0.66,9.72,0.00,-2.88,9.61
37720,20,0.30,-0.05,0.32,0.51,9.80,-0.96,-1.92,7.69
37828,20,0.23,-0.14,0.63,-0.02,9.68,0.00,-2.40,8.65
37929,20,0.20,-0.17,0.63,0.17,9.68,0.48,-2.88,7.21
38031,20,0.19,-0.17,0.05,0.32,9.76,-0.96,-1.44,11.53
38132,20,0.27,-0.03,0.09,0.21,9.80,-0.48,-4.32,9.13
38234,20,0.26,-0.05,0.21,-0.29,9.64,-0.96,-1.92,11.05
38336,20,0.15,-0.20,0.55,0.09,9.91,-1.44,-1.44,9.61
38438,20,0.02,-0.38,0.09,0.74,9.72,0.00,-1.44,8.65
38540,20,-0.09,-0.49,0.17,0.21,9.84,-1.92,-1.92,-7.69
38744,20,0.02,-0.24,0.17,0.21,9.76,1.44,-2.40,24.99
38846,20,0.12,-0.07,0.17,-0.02,9.68,-0.96,-0.48,9.13
38949,20,0.18,0.04,0.05,0.40,9.72,-0.48,-1.44,10.09
39051,20,0.23,0.10,-0.06,0.47,9.76,0.48,-2.40,8.65
39154,20,0.22,0.09,0.02,0.05,9.72,-0.96,-2.88,9.13
39256,20,0.27,0.15,0.25,0.24,9.72,0.48,-1.44,9.13
39358,20,0.37,0.30,0.32,0.43,9.68,0.48,-0.48,10.57
39461,20,0.51,0.46,0.17,0.55,9.76,0.48,-2.88,8.65
39563,20,0.55,0.46,0.67,0.21,9.64,0.48,-1.44,9.13
39767,20,0.48,0.28,-0.06,0.09,9.76,0.00,-2.40,9.13
39868,20,0.43,0.18,0.17,0.40,9.76,-0.96,-0.48,9.13
39970,20,0.39,0.10,0.29,0.55,9.76,-1.44,-3.36,12.97
40072,20,0.42,0.14,0.09,0.24,9.80,0.00,-0.48,10.09
40174,20,0.44,0.15,0.63,0.24,9.72,0.00,-2.88,11.05
40276,20,0.47,0.19,0.29,0.32,9.76,0.00,-1.44,9.13
40378,20,0.46,0.15,0.05,0.43,9.72,-0.48,-0.96,8.17
40480,20,0.46,0.12,0.36,0.40,9.68,0.48,-1.44,10.09
40684,20,0.43,0.06,0.13,0.32,9.76,-0.48,-2.40,9.13
40791,20,0.40,0.01,0.09,0.43,9.72,0.48,-0.96,9.61
40892,20,0.39,-0.01,0.17,0.36,9.72,0.00,-1.44,10.57
40994,20,0.35,-0.08,0.21,0.21,9.72,-0.48,-2.88,9.13
41096,20,0.32,-0.11,0.32,0.28,9.68,0.96,-2.40,8.65
41198,20,0.32,-0.11,0.25,0.43,9.72,-0.96,-0.96,11.05
41300,20,0.27,-0.18,0.25,0.21,9.76,-0.96,-0.96,9.61
41402,20,0.30,-0.12,0.32,0.28,9.72,0.48,-2.40,8.65
41504,20,0.29,-0.12,0.21,0.32,9.72,-0.96,-2.40,8.65
41708,20,0.19,-0.24,0.09,0.13,9.72,-1.44,-2.40,8.65
41809,20,0.15,-0.28,0.29,0.21,9.72,-0.48,-2.40,10.09
41912,20,0.14,-0.27,0.21,0.43,9.72,-0.48,-0.96,9.61
42014,20,0.15,-0.22,0.25,-0.06,9.72,0.48,-1.44,10.57
42116,20,0.16,-0.19,0.21,0.24,9.72,0.00,-0.48,9.13
42219,20,0.20,-0.10,0.02,0.21,9.76,0.96,-2.40,10.57
42321,20,0.24,-0.03,0.48,0.17,9.72,0.48,-0.96,10.09
42423,20,0.29,0.04,0.05,0.28,9.76,0.00,-1.44,9.13
42524,20,0.27,0.01,0.25,0.43,9.72,0.00,-1.92,9.13
42728,20,0.36,0.14,0.25,0.32,9.72,0.48,-3.36,9.61
42830,20,0.47,0.29,0.52,0.24,9.72,0.00,-0.96,10.09
42932,20,0.56,0.40,-0.06,0.24,9.76,0.96,-1.92,8.17
43034,20,0.65,0.50,0.09,0.24,9.76,0.96,-2.40,11.53
43136,20,0.63,0.41,0.32,0.62,9.72,0.96,-3.36,8.17
43238,20,0.55,0.26,0.21,0.32,9.76,-0.48,-1.44,10.57
43340,20,0.40,0.01,0.29,0.24,9.72,0.48,-1.92,9.61
